ID;Name;Price;Fruit_Proportion;Fresh_Juice;Nectar;Added_Vitamins;Sugar;Added_Sugar;Sugar_Replacement;Proteins;Salt;Kcal;Apple;Orange;Pineapple;Mango;Grape;Maracuja;Peach;Pear;Banana;Apricot;Carrot;Lemon;Kiwi;Tomato;Grapefruit;Rosa_Camina;Guava;Mandarin;Papaia;Raspberry;Blueberry;Strawberry;Cherries;Median;Average;Rounded_Average;Average_Recom;Avg>=6;Med>=6
27;Don Simon Disfruta ;0.73;0.55;0;1;0;5.4;0;1;0.3;0.01;23;0;0.45;0;0.05;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;5;4.2;4;0;0;0
28;So Natural Frutos Vermelhos;7.16;1;1;0;0;10;0;0;0.3;0.01;51;0.82;0;0;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0.06;0.04;0;0;6;6;6;1;1;1
29;Auchan Bio Sumo Multifrutos;1.79;1;0;0;0;11;0;0;0.3;0.3;50;0.34;0.31;0;0.22;0;0.06;0;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;5.4;5;1;0;0
30;Compal Frutas do Pomar;1.18;0.51;0;1;0;6.6;1;0;0;0.02;33;0.38;0;0;0;0;0;0.02;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;0;2;1.6;2;0;0;0
31;Santal Active Drink Red Fruit;1.19;0.15;0;1;1;4.1;1;0;0.1;0.01;18;0.036;0;0;0;0.036;0;0;0;0;0;0.03;0.04;0;0;0;0;0;0;0;0.007;0;0.002;0;6;6;6;1;1;1
32;Capri Sun Multi Vitamin;1.45;0.12;0;1;1;9.4;1;0;0.3;0;33;0.0053;0.0402;0.0053;0;0;0.0053;0;0;0.0053;0;0;0.048;0.0053;0;0.0053;0;0;0;0;0;0;0;0;3;3.6;4;0;0;0
33;Santal Nectar Tutti Frutti Multifruits;2.15;0.5;0;1;0;8.9;1;0;0.2;0.01;39;0;0;0.152;0.015;0;0.015;0;0.225;0.025;0;0;0.012;0;0;0;0;0.008;0.048;0;0;0;0;0;4;5.6;6;0;0;1
34;Continental Nectar Tutti Frutti Classico;0.79;0.5;0;1;0;8.3;1;0;0.2;0;37;0.21;0.16;0.07;0;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5.8;6;1;0;1
36;Continental 100% Sumo Natural;0.79;1;1;0;0;16;0;0;3;0.1;89;0.65;0.1;0.2;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7.2;7;1;1;1
37;Compal Vital Equilibrio;1.55;0.51;0;1;0;4.5;0;1;0;0.02;19;0.12;0.2;0;0.08;0;0;0;0;0;0;0.11;0;0;0;0;0;0;0;0;0;0;0;0;5;4.4;4;0;0;0
